cliid,gender,birth_date,marz_id,phone,mobile_operator,email
7464,Male,1981-11-22,1,37499045130,Beeline,kde888@yandex.ru
7498,Male,2000-06-22,4,37477264941,VivacellMTS,dvc152@gmail.com
7516,Male,1994-06-22,4,37477288439,VivacellMTS,aya185@gmail.com
7563,Male,1998-01-23,0,37477015512,VivacellMTS,zyj548@mail.ru
7574,Male,1990-02-23,1,37499070243,Beeline,xni383@gmail.com
7603,Male,1991-02-23,0,37477725703,VivacellMTS,qmb502@mail.ru
7611,Male,1996-03-23,1,37477302841,VivacellMTS,tuo563@gmail.com
7645,Male,2000-05-23,7,37477759086,VivacellMTS,nht531@list.ru
7672,Male,1996-05-23,1,37477405124,VivacellMTS,iop368@bk.ru
7733,Male,1981-09-23,1,37477791558,VivacellMTS,hgt804@mail.ru
7755,Male,1999-09-23,10,37477487223,VivacellMTS,tzf126@gmail.com
7779,Male,1994-10-23,1,37477338248,VivacellMTS,cns370@mail.ru
7851,Male,1988-06-23,1,37455938255,Ucom,sei916@mail.ru
7900,Male,1998-01-24,0,37477092433,VivacellMTS,qig724@mail.ru
7911,Male,1986-02-24,10,37477968001,VivacellMTS,kex834@yandex.ru
7914,Male,1992-02-24,11,37477303932,VivacellMTS,qus603@mail.ru
8002,Male,1985-07-24,3,37477147400,VivacellMTS,wkd154@mail.ru
8013,Male,1993-07-24,1,37499268396,Beeline,nwz758@mail.ru
8066,Male,1998-09-24,4,37477711676,VivacellMTS,jqm257@mail.ru
8128,Male,1999-11-24,1,37477988642,VivacellMTS,zzy938@mail.ru
8169,Male,1998-06-24,1,37455044767,Ucom,jrp653@mail.ru
8264,Male,2000-04-25,3,37477678804,VivacellMTS,cqy715@mail.ru
8336,Male,1993-07-25,12,37477428201,VivacellMTS,syu240@mail.ru
8358,Male,1994-08-25,0,37477945812,VivacellMTS,gca208@gmail.com
8468,Male,1987-06-25,0,37477045415,VivacellMTS,kln367@icloud.com
8510,Male,1996-01-26,0,37455099517,Ucom,scm256@mail.ru
8531,Male,1991-02-26,1,37477021630,VivacellMTS,oio120@gmail.com
8535,Male,1995-02-26,1,37499856271,Beeline,oci486@mail.ru
8584,Male,1980-05-26,1,37499677412,Beeline,wfw191@mail.ru
8595,Male,1995-05-26,1,37455509386,Ucom,zjq829@gmail.com
8599,Male,1996-05-26,10,37455537340,Ucom,lwv645@gmail.com
8799,Male,1976-01-27,0,37477592408,VivacellMTS,dmp404@mail.ru
8819,Male,1993-01-27,2,37499825243,Beeline,azf376@mail.ru
8830,Male,1999-01-27,1,37477927679,VivacellMTS,jww506@mail.ru
8831,Male,1999-01-27,3,37499692310,Beeline,nez534@gmail.com
8858,Male,1980-03-27,3,37477686074,VivacellMTS,fjn308@gmail.com
8869,Male,1993-03-27,6,37477745487,VivacellMTS,sms304@mail.ru
8927,Male,1986-07-27,0,37477544798,VivacellMTS,lnf755@mail.ru
9013,Male,1997-10-24,1,37455861589,Ucom,toq438@mail.ru
9036,Male,1990-11-27,1,37499005998,Beeline,bps223@gmail.com
9047,Male,1999-11-27,1,37499795448,Beeline,grj804@mail.ru
9067,Male,1988-12-27,0,37477732829,VivacellMTS,tzp553@gmail.com
9109,Male,1996-06-27,1,37477861936,VivacellMTS,mtk523@gmail.com
9143,Male,1998-01-28,7,37477011288,VivacellMTS,mil932@gmail.com
9246,Male,1992-05-28,1,37477217871,VivacellMTS,rci111@gmail.com
9348,Male,1997-09-28,3,37477071158,VivacellMTS,qws141@bk.ru
9378,Male,1997-10-28,1,37499579462,Beeline,hbb707@bk.ru
9447,Male,1998-06-28,1,37477465914,VivacellMTS,gkq461@mail.ru
9448,Male,1998-06-28,11,37477919812,VivacellMTS,zhz734@mail.ru
9544,Male,2000-05-29,2,37455069006,Ucom,iqd273@list.ru
9552,Male,1991-05-29,10,37477512047,VivacellMTS,kgn344@gmail.com
9571,Male,1984-07-29,6,37477675380,VivacellMTS,xvw600@mail.ru
9606,Male,1991-08-29,1,37477108397,VivacellMTS,bxu216@mail.ru
9628,Male,1990-09-29,1,37499540591,Beeline,xsv216@gmail.com
9714,Male,1996-06-29,5,37477819376,VivacellMTS,imk200@icloud.com
9736,Male,1985-01-30,1,37477877792,VivacellMTS,lmu976@gmail.com
9811,Male,1996-05-30,1,37499699092,Beeline,hik174@gmail.com
9844,Male,1998-07-30,1,37477875703,VivacellMTS,gtv220@gmail.com
9963,Male,1986-12-30,1,37455284951,Ucom,uxj283@gmail.com
9981,Male,1992-06-30,7,37477575261,VivacellMTS,mdi680@gmail.com
10019,Male,1995-01-31,12,37497114559,KharabakhTelecom,vzu551@mail.ru
10021,Male,1996-01-31,1,37477652923,VivacellMTS,iei443@gmail.com
10032,Male,1987-03-31,1,37477820986,VivacellMTS,jrf906@yahoo.com
10045,Male,1996-03-31,1,37499045401,Beeline,fbk549@inbox.ru
10135,Male,1997-08-31,1,37477493515,VivacellMTS,yhy744@mail.ru
10159,Male,1994-10-31,1,37477147013,VivacellMTS,eix747@gmail.com
10238,Female,1963-03-01,1,37477620428,VivacellMTS,pnc386@mail.ru
10256,Female,1973-04-01,3,37477710955,VivacellMTS,cwr777@mail.ru
10319,Female,1989-08-01,1,37477708472,VivacellMTS,cgv118@gmail.com
10361,Female,1998-10-01,2,37499340127,Beeline,hrb289@gmail.com
10479,Female,1984-04-02,1,37477154676,VivacellMTS,tkt999@inbox.ru
10522,Female,1985-08-02,1,37477639486,VivacellMTS,qle620@gmail.com
10599,Female,1986-12-02,1,37477746085,VivacellMTS,hqm428@mail.ru
10670,Female,1995-03-03,4,37477261020,VivacellMTS,lti212@gmail.com
10769,Female,1987-12-03,1,37455391940,Ucom,fwe872@gmail.com
10812,Female,1990-01-04,1,37477790720,VivacellMTS,rgg421@mail.ru
10832,Female,2000-03-04,0,37477440518,VivacellMTS,qar616@gmail.com
10879,Female,1986-07-04,1,37477099250,VivacellMTS,tmw384@mail.ru
11036,Female,1979-04-05,1,37499535552,Beeline,eym430@mail.ru
11045,Female,1998-04-05,6,37477698999,VivacellMTS,lcb896@mail.ru
11060,Female,1988-07-05,1,37499861767,Beeline,jxa864@mail.ru
11267,Female,1980-09-06,10,37477967494,VivacellMTS,bxr944@mail.ru
11298,Female,1987-11-06,1,37477239181,VivacellMTS,gfh456@gmail.com
11303,Female,1995-11-06,1,37477120215,VivacellMTS,mcv831@gmail.com
11307,Female,1998-11-06,1,37499649720,Beeline,lha509@gmail.com
11316,Female,1985-12-06,1,37477561870,VivacellMTS,jta985@mail.ru
11330,Female,1991-06-06,1,37477419899,VivacellMTS,frg543@gmail.com
11331,Female,1993-06-06,5,37477591732,VivacellMTS,eyq865@mail.ru
11339,Female,1999-06-06,1,37499203848,Beeline,rsf531@list.ru
11425,Female,1977-07-07,1,37499357314,Beeline,tmg776@mail.ru
11466,Female,1974-10-07,1,37477824758,VivacellMTS,qyx466@mail.ru
11573,Female,1994-04-08,9,37477578346,VivacellMTS,wra302@mail.ru
11581,Female,1990-05-08,1,37499781866,Beeline,imp874@bk.ru
11586,Female,1998-05-08,3,37477189801,VivacellMTS,kco744@gmail.com
11669,Female,2000-06-08,1,37477904253,VivacellMTS,bie477@mail.ru
11801,Female,1994-10-09,6,37477023858,VivacellMTS,irc830@gmail.com
11815,Female,1995-11-09,1,37477789222,VivacellMTS,zix473@gmail.com
11820,Female,1973-12-09,6,37477208821,VivacellMTS,oip658@mail.ru
11978,Female,1998-10-10,11,37477183415,VivacellMTS,tbm507@list.ru
11995,Female,1997-11-10,1,37499216125,Beeline,lxh929@mail.ru
12092,Female,1997-03-08,1,37477931260,VivacellMTS,hkm363@gmail.com
12093,Female,1998-03-11,1,37477866361,VivacellMTS,hzf473@mail.ru
12142,Female,1968-09-11,1,37477011978,VivacellMTS,mub622@inbox.ru
12182,Female,1975-12-11,4,37477119080,VivacellMTS,vvn896@gmail.com
12300,Female,1988-07-12,11,37477882748,VivacellMTS,tvg238@gmail.com
12325,Female,1992-08-12,1,37477825841,VivacellMTS,njx262@mail.ru
12360,Female,1985-11-12,1,37477055582,VivacellMTS,rzr376@mail.ru
12436,Female,1981-03-13,6,37455164591,Ucom,hzn851@mail.ru
12469,Female,1980-05-13,1,37499385424,Beeline,lpn349@internet.ru
12606,Female,1994-01-14,1,37499712544,Beeline,srp753@gmail.com
12617,Female,1999-02-14,11,37455449788,Ucom,gua482@gmail.com
12713,Female,1999-10-14,1,37477537391,VivacellMTS,pdt581@mail.ru
12796,Female,1993-04-15,1,37477466546,VivacellMTS,nif378@gmail.com
12823,Female,1998-05-15,1,37477456984,VivacellMTS,oky193@mail.ru
12894,Female,1997-11-15,2,37455273609,Ucom,zwh393@mail.ru
12899,Female,1974-12-15,1,37477208140,VivacellMTS,mqr388@gmail.com
12912,Female,1996-12-15,1,37477827270,VivacellMTS,ebi518@gmail.com
12939,Female,1997-01-16,1,37477076071,VivacellMTS,lak156@mail.ru
13046,Female,1993-09-16,0,37477607630,VivacellMTS,cdn494@bk.ru
13167,Female,1996-02-27,0,37477442828,VivacellMTS,cbj562@mail.ru
13290,Female,1988-02-18,1,37455914873,Ucom,rgo830@mail.ru
13309,Female,1998-03-18,3,37499692514,Beeline,rei194@mail.ru
13387,Female,1999-10-18,3,37477155047,VivacellMTS,vky745@gmail.com
13392,Female,1981-11-18,1,37499482118,Beeline,gtj521@mail.ru
13420,Female,1986-06-18,1,37477681077,VivacellMTS,dim267@bk.ru
13435,Female,1984-01-19,1,37477056264,VivacellMTS,sqe920@gmail.com
13494,Female,1983-07-19,1,37499549933,Beeline,npx181@mail.ru
13609,Female,1980-01-20,11,37477427527,VivacellMTS,ttr993@gmail.com
13633,Female,1993-02-20,1,37455276545,Ucom,zfx785@mail.ru
13643,Female,1992-03-20,1,37477179889,VivacellMTS,mfo234@gmail.com
13737,Female,1999-09-20,4,37499253135,Beeline,gpv946@gmail.com
13789,Female,1996-06-20,10,37455394643,Ucom,ulm633@mail.ru
13806,Female,1992-01-21,10,37477665466,VivacellMTS,ofq558@gmail.com
13839,Female,1985-05-21,1,37477785730,VivacellMTS,oob429@mail.ru
13842,Female,1990-05-21,1,37477801852,VivacellMTS,hgn339@gmail.com
13928,Female,1992-12-21,1,37477357550,VivacellMTS,txr279@mail.ru
13985,Female,1997-03-22,2,37477524928,VivacellMTS,jdx230@mail.ru
14095,Female,1994-12-22,1,37477637029,VivacellMTS,euv205@gmail.com
14109,Female,1997-06-22,1,37455453248,Ucom,ubl130@mail.ru
14129,Female,1998-01-23,10,37477464083,VivacellMTS,bzi515@gmail.com
14161,Female,1993-03-23,1,37499855128,Beeline,vhr570@gmail.com
14240,Female,1999-10-23,1,37477226449,VivacellMTS,ish818@mail.ru
14290,Female,1988-01-24,6,37477478665,VivacellMTS,ibw404@mail.ru
14358,Female,1991-07-24,3,37477796237,VivacellMTS,fib555@gmail.com
14384,Female,1995-09-24,1,37477598422,VivacellMTS,vgo473@mail.ru
14542,Female,1992-09-25,11,37499563845,Beeline,vti373@gmail.com
14774,Female,1997-01-27,0,37499161205,Beeline,agl823@mail.ru
14796,Female,1991-03-27,1,37477163643,VivacellMTS,thp768@gmail.com
14996,Female,1996-05-28,1,37477279154,VivacellMTS,cuv849@gmail.com
15033,Female,1980-09-28,3,37477081835,VivacellMTS,dzt942@gmail.com
15075,Female,1988-12-28,1,37499200624,Beeline,qrl668@mail.ru
15156,Female,1975-08-29,1,37477763660,VivacellMTS,egg539@mail.ru
15189,Female,1977-10-29,1,37499898232,Beeline,ypx161@mail.ru
15306,Female,1976-09-30,1,37477563190,VivacellMTS,xti203@mail.ru
15383,Female,1999-01-31,0,37477862907,VivacellMTS,vmp515@mail.ru
15429,Female,1996-08-31,1,37455637385,Ucom,rxs955@gmail.com
15447,Female,1978-12-31,1,37477741802,VivacellMTS,hrk558@gmail.com
497099,Male,1996-06-02,1,37499313350,Beeline,gov546@mail.ru
497100,Female,1981-12-27,6,37477047863,VivacellMTS,qeo188@bk.ru
497110,Male,1991-11-30,0,37455926897,Ucom,xtc775@mail.ru
497116,Male,1997-03-12,1,37477573867,VivacellMTS,pap765@gmail.com
497122,Male,1996-07-31,6,37477220185,VivacellMTS,rcm773@mail.ru
497141,Male,1987-05-25,0,37477962203,VivacellMTS,szx241@gmail.com
497161,Female,1993-04-29,9,37477317175,VivacellMTS,ktq774@mail.ru
497169,Male,1994-05-24,3,37477024814,VivacellMTS,lfe810@gmail.com
497205,Male,1991-08-01,1,37455566450,Ucom,qad882@gmail.com
497231,Female,1959-06-25,1,37477484519,VivacellMTS,xxs619@gmail.com
497243,Male,1995-08-04,1,37455040448,Ucom,vrr494@gmail.com
497269,Male,1999-03-04,1,37499523349,Beeline,jxw247@mail.ru
497274,Male,1999-05-01,0,37477807948,VivacellMTS,sbu436@gmail.com
497275,Male,1998-07-15,1,37477654942,VivacellMTS,kvb200@mail.ru
497320,Female,1991-12-06,1,37455154654,Ucom,qvd848@mail.ru
497330,Male,1994-01-21,1,37499724337,Beeline,iag305@mail.ru
497340,Male,1993-07-16,1,37499842427,Beeline,ywr589@mail.ru
497350,Male,1995-03-11,10,37477298044,VivacellMTS,hyn564@gmail.com
497356,Female,1962-07-04,0,37499082318,Beeline,gvk923@mail.ru
497396,Male,1998-01-16,1,37477677907,VivacellMTS,vvq278@mail.ru
497403,Male,1991-06-21,1,37455440777,Ucom,xmf862@gmail.com
497411,Male,1992-09-18,6,37477818283,VivacellMTS,rfg638@mail.ru
497418,Male,1983-03-03,7,37477384955,VivacellMTS,upr890@gmail.com
497420,Male,1992-10-01,1,37455762882,Ucom,ngi489@gmail.com
497456,Female,1988-12-27,1,37499781996,Beeline,dei315@gmail.com
497478,Male,1990-11-12,1,37455042519,Ucom,cfs721@mail.ru
497480,Female,1997-03-16,1,37455540172,Ucom,zbo638@gmail.com
497489,Male,1995-09-07,1,37455467565,Ucom,xuj164@gmail.com
497495,Female,1986-09-15,1,37499431452,Beeline,wyq897@gmail.com
497500,Male,1974-05-19,0,37499533571,Beeline,bva320@gmail.com
497522,Female,1972-03-21,1,37477292719,VivacellMTS,cun649@gmail.com
497526,Male,1982-08-22,6,37477521046,VivacellMTS,mhl202@gmail.com
497554,Male,1982-04-01,1,37455256229,Ucom,xif639@mail.ru
497555,Male,1986-06-15,1,37477322649,VivacellMTS,ara226@mail.ru
497557,Male,1995-06-18,1,37499668960,Beeline,jbb590@mail.ru
497560,Female,1993-05-05,0,37477884809,VivacellMTS,lev323@yahoo.com
497563,Male,1986-10-27,0,37455180637,Ucom,lan284@gmail.com
497572,Male,1999-03-03,0,37477478433,VivacellMTS,mbq546@mail.ru
497577,Female,1994-04-19,4,37477267923,VivacellMTS,cgr767@mail.ru
497642,Male,1991-06-15,4,37455747684,Ucom,mqd718@mail.ru
497686,Male,1990-02-23,6,37477459558,VivacellMTS,hml461@gmail.com
497755,Male,1989-12-16,1,37499538689,Beeline,ihe488@gmail.com
497765,Male,1988-05-29,2,37477107474,VivacellMTS,ehf622@yahoo.com
497785,Male,1990-08-13,1,37455146769,Ucom,tzf956@inbox.ru
497796,Female,1974-05-04,0,37477739344,VivacellMTS,zei727@mail.ru
497798,Male,1995-08-09,1,37499753683,Beeline,liu306@mail.ru
497833,Male,1989-03-29,1,37477099300,VivacellMTS,ytn127@gmail.com
497835,Male,1995-05-18,10,37499674021,Beeline,jtk370@mail.ru
497838,Male,1979-09-19,1,37499989588,Beeline,fqy352@gmail.com
497840,Female,1974-05-25,3,37477389106,VivacellMTS,xdz537@mail.ru
497847,Male,1999-09-24,4,37477909769,VivacellMTS,drq229@list.ru
497848,Male,1992-04-14,10,37499855051,Beeline,mbr775@gmail.com
497851,Female,1993-05-17,0,37477579849,VivacellMTS,yst638@gmail.com
497863,Male,1999-01-29,1,37455991301,Ucom,frl525@bk.ru
497891,Female,1993-04-17,10,37477014988,VivacellMTS,mps769@list.ru
497897,Female,1971-10-05,1,37455546155,Ucom,bml512@gmail.com
497912,Male,1995-04-10,1,37455944258,Ucom,jal744@gmail.com
497920,Male,1974-08-26,1,37499618926,Beeline,lfd633@mail.ru
497921,Female,1991-09-13,1,37477773287,VivacellMTS,rxc233@gmail.com
497946,Male,1996-10-15,1,37477467042,VivacellMTS,xol568@mail.ru
497970,Female,1995-03-28,9,37477252186,VivacellMTS,qse545@mail.ru
497971,Male,1997-12-04,1,37499076517,Beeline,bpi728@mail.ru
497977,Male,1990-09-02,0,37477678450,VivacellMTS,lul990@mail.ru
497986,Male,1977-08-30,1,37477918434,VivacellMTS,bqw833@gmail.com
498020,Female,1975-02-05,0,37477792629,VivacellMTS,kas120@mail.ru
498036,Male,1997-08-04,7,37499001501,Beeline,xne791@mail.ru
498038,Female,1989-12-06,1,37477320195,VivacellMTS,jgo417@gmail.com
498069,Female,1995-12-18,10,37477279591,VivacellMTS,rbu164@mail.ru
498083,Male,1990-02-07,1,37455252871,Ucom,krp908@gmail.com
498086,Male,1983-08-22,1,37455561114,Ucom,tgs732@mail.ru
498092,Male,1993-02-20,1,37499363761,Beeline,qon218@gmail.com
498100,Male,1980-08-13,1,37477300185,VivacellMTS,fbu248@gmail.com
498124,Male,1997-05-31,1,37455311680,Ucom,vpr249@gmail.com
498134,Male,1986-09-11,1,37499034104,Beeline,qbd958@mail.ru
498175,Male,1989-03-24,6,37477171489,VivacellMTS,cme109@mail.ru
498211,Male,1992-07-06,9,37477521234,VivacellMTS,fnu559@mail.ru
498228,Male,1992-04-26,10,37477987095,VivacellMTS,dcm752@mail.ru
498233,Male,1994-11-26,0,37477471175,VivacellMTS,kqv379@gmail.com
498261,Female,1991-03-15,1,37477480051,VivacellMTS,fvo264@inbox.ru
498262,Male,1991-07-16,1,37455272042,Ucom,gyd597@gmail.com
498270,Female,1995-05-31,1,37455235129,Ucom,blb977@mail.ru
498286,Male,1979-05-17,1,37477270440,VivacellMTS,jez750@gmail.com
498301,Male,1997-05-17,1,37477541584,VivacellMTS,htd769@gmail.com
